review_id,product,review_text,star_rating,helpful_votes
1,Smartphone Hülle,Ich finde das Smartphone Hülle perfekt. Würde ich wieder kaufen.,5,6
2,Bluetooth-Kopfhörer,"Das Bluetooth-Kopfhörer ist solide, nichts Besonderes.",3,2
3,Staubsauger Roboter,Leider ist das Staubsauger Roboter mangelhaft. Bin enttäuscht.,2,19
4,Staubsauger Roboter,Leider ist das Staubsauger Roboter mangelhaft. Bin enttäuscht.,2,1
5,Smartphone Hülle,Leider ist das Smartphone Hülle unbequem. Bin enttäuscht.,1,18
6,Laptop Stand,Leider ist das Laptop Stand schlecht. Bin enttäuscht.,2,5
7,Kaffeemaschine,Ich finde das Kaffeemaschine perfekt. Würde ich wieder kaufen.,4,8
8,Staubsauger Roboter,Ich finde das Staubsauger Roboter exzellent. Würde ich wieder kaufen.,4,5
9,Bluetooth-Kopfhörer,Ich finde das Bluetooth-Kopfhörer exzellent. Würde ich wieder kaufen.,4,17
10,Bluetooth-Kopfhörer,Ich finde das Bluetooth-Kopfhörer perfekt. Würde ich wieder kaufen.,5,10
11,Staubsauger Roboter,Ich finde das Staubsauger Roboter super. Würde ich wieder kaufen.,5,15
12,Bluetooth-Kopfhörer,Leider ist das Bluetooth-Kopfhörer mangelhaft. Bin enttäuscht.,2,7
13,Bluetooth-Kopfhörer,Ich finde das Bluetooth-Kopfhörer super. Würde ich wieder kaufen.,4,12
14,Bluetooth-Kopfhörer,"Das Bluetooth-Kopfhörer ist akzeptabel, nichts Besonderes.",3,15
15,Staubsauger Roboter,Ich finde das Staubsauger Roboter toll. Würde ich wieder kaufen.,4,15
16,Staubsauger Roboter,Ich finde das Staubsauger Roboter super. Würde ich wieder kaufen.,5,13
17,Smartphone Hülle,"Das Smartphone Hülle ist solide, nichts Besonderes.",3,0
18,Bluetooth-Kopfhörer,"Das Bluetooth-Kopfhörer ist mittelmäßig, nichts Besonderes.",3,7
19,Laptop Stand,Leider ist das Laptop Stand defekt. Bin enttäuscht.,1,14
20,Smartphone Hülle,Leider ist das Smartphone Hülle enttäuschend. Bin enttäuscht.,2,4
21,Smartphone Hülle,Ich finde das Smartphone Hülle toll. Würde ich wieder kaufen.,5,6
22,Staubsauger Roboter,Leider ist das Staubsauger Roboter defekt. Bin enttäuscht.,2,18
23,Bluetooth-Kopfhörer,"Das Bluetooth-Kopfhörer ist okay, nichts Besonderes.",3,11
24,Bluetooth-Kopfhörer,Leider ist das Bluetooth-Kopfhörer schlecht. Bin enttäuscht.,2,13
25,Bluetooth-Kopfhörer,Leider ist das Bluetooth-Kopfhörer unbequem. Bin enttäuscht.,1,20
26,Smartphone Hülle,Ich finde das Smartphone Hülle super. Würde ich wieder kaufen.,4,12
27,Laptop Stand,Ich finde das Laptop Stand perfekt. Würde ich wieder kaufen.,4,10
28,Kaffeemaschine,Leider ist das Kaffeemaschine unbequem. Bin enttäuscht.,2,20
29,Staubsauger Roboter,Ich finde das Staubsauger Roboter toll. Würde ich wieder kaufen.,5,11
30,Kaffeemaschine,Ich finde das Kaffeemaschine perfekt. Würde ich wieder kaufen.,4,13
31,Kaffeemaschine,"Das Kaffeemaschine ist akzeptabel, nichts Besonderes.",3,13
32,Bluetooth-Kopfhörer,Leider ist das Bluetooth-Kopfhörer mangelhaft. Bin enttäuscht.,1,9
33,Laptop Stand,Ich finde das Laptop Stand exzellent. Würde ich wieder kaufen.,5,12
34,Laptop Stand,Ich finde das Laptop Stand exzellent. Würde ich wieder kaufen.,4,7
35,Smartphone Hülle,"Das Smartphone Hülle ist akzeptabel, nichts Besonderes.",3,2
36,Bluetooth-Kopfhörer,Leider ist das Bluetooth-Kopfhörer unbequem. Bin enttäuscht.,2,14
37,Laptop Stand,Ich finde das Laptop Stand super. Würde ich wieder kaufen.,4,7
38,Kaffeemaschine,Ich finde das Kaffeemaschine perfekt. Würde ich wieder kaufen.,5,9
39,Smartphone Hülle,Ich finde das Smartphone Hülle exzellent. Würde ich wieder kaufen.,5,16
40,Bluetooth-Kopfhörer,Ich finde das Bluetooth-Kopfhörer fantastisch. Würde ich wieder kaufen.,5,1
41,Staubsauger Roboter,"Das Staubsauger Roboter ist okay, nichts Besonderes.",3,8
42,Laptop Stand,"Das Laptop Stand ist solide, nichts Besonderes.",3,10
43,Smartphone Hülle,Ich finde das Smartphone Hülle toll. Würde ich wieder kaufen.,5,9
44,Kaffeemaschine,Leider ist das Kaffeemaschine enttäuschend. Bin enttäuscht.,2,14
45,Kaffeemaschine,Leider ist das Kaffeemaschine unbequem. Bin enttäuscht.,2,6
46,Smartphone Hülle,Ich finde das Smartphone Hülle toll. Würde ich wieder kaufen.,4,16
47,Smartphone Hülle,Leider ist das Smartphone Hülle mangelhaft. Bin enttäuscht.,1,8
48,Staubsauger Roboter,"Das Staubsauger Roboter ist mittelmäßig, nichts Besonderes.",3,8
49,Bluetooth-Kopfhörer,Ich finde das Bluetooth-Kopfhörer perfekt. Würde ich wieder kaufen.,4,10
50,Smartphone Hülle,"Das Smartphone Hülle ist mittelmäßig, nichts Besonderes.",3,18
51,Kaffeemaschine,Ich finde das Kaffeemaschine toll. Würde ich wieder kaufen.,5,11
52,Staubsauger Roboter,Ich finde das Staubsauger Roboter fantastisch. Würde ich wieder kaufen.,4,10
53,Staubsauger Roboter,"Das Staubsauger Roboter ist solide, nichts Besonderes.",3,11
54,Kaffeemaschine,Ich finde das Kaffeemaschine toll. Würde ich wieder kaufen.,5,4
55,Smartphone Hülle,Ich finde das Smartphone Hülle toll. Würde ich wieder kaufen.,5,10
56,Kaffeemaschine,Leider ist das Kaffeemaschine unbequem. Bin enttäuscht.,2,15
57,Bluetooth-Kopfhörer,Ich finde das Bluetooth-Kopfhörer exzellent. Würde ich wieder kaufen.,4,14
58,Staubsauger Roboter,Leider ist das Staubsauger Roboter mangelhaft. Bin enttäuscht.,1,18
59,Laptop Stand,"Das Laptop Stand ist in Ordnung, nichts Besonderes.",3,2
60,Staubsauger Roboter,Ich finde das Staubsauger Roboter toll. Würde ich wieder kaufen.,5,4
61,Bluetooth-Kopfhörer,"Das Bluetooth-Kopfhörer ist in Ordnung, nichts Besonderes.",3,14
62,Laptop Stand,Ich finde das Laptop Stand toll. Würde ich wieder kaufen.,4,13
63,Smartphone Hülle,Leider ist das Smartphone Hülle mangelhaft. Bin enttäuscht.,1,13
64,Smartphone Hülle,Leider ist das Smartphone Hülle schlecht. Bin enttäuscht.,2,13
65,Staubsauger Roboter,Ich finde das Staubsauger Roboter fantastisch. Würde ich wieder kaufen.,5,19
66,Staubsauger Roboter,Ich finde das Staubsauger Roboter fantastisch. Würde ich wieder kaufen.,4,8
67,Laptop Stand,Leider ist das Laptop Stand defekt. Bin enttäuscht.,2,20
68,Staubsauger Roboter,Ich finde das Staubsauger Roboter exzellent. Würde ich wieder kaufen.,4,6
69,Bluetooth-Kopfhörer,Leider ist das Bluetooth-Kopfhörer defekt. Bin enttäuscht.,2,4
70,Staubsauger Roboter,Leider ist das Staubsauger Roboter mangelhaft. Bin enttäuscht.,2,4
71,Staubsauger Roboter,"Das Staubsauger Roboter ist okay, nichts Besonderes.",3,6
72,Bluetooth-Kopfhörer,"Das Bluetooth-Kopfhörer ist mittelmäßig, nichts Besonderes.",3,2
73,Bluetooth-Kopfhörer,Ich finde das Bluetooth-Kopfhörer toll. Würde ich wieder kaufen.,4,14
74,Staubsauger Roboter,Ich finde das Staubsauger Roboter exzellent. Würde ich wieder kaufen.,5,1
75,Kaffeemaschine,Ich finde das Kaffeemaschine toll. Würde ich wieder kaufen.,4,18
76,Kaffeemaschine,"Das Kaffeemaschine ist akzeptabel, nichts Besonderes.",3,11
77,Laptop Stand,Ich finde das Laptop Stand super. Würde ich wieder kaufen.,5,9
78,Laptop Stand,Ich finde das Laptop Stand fantastisch. Würde ich wieder kaufen.,4,5
79,Smartphone Hülle,Ich finde das Smartphone Hülle perfekt. Würde ich wieder kaufen.,4,0
80,Laptop Stand,Ich finde das Laptop Stand perfekt. Würde ich wieder kaufen.,4,14
81,Kaffeemaschine,Ich finde das Kaffeemaschine fantastisch. Würde ich wieder kaufen.,5,12
82,Smartphone Hülle,Leider ist das Smartphone Hülle enttäuschend. Bin enttäuscht.,1,8
83,Smartphone Hülle,"Das Smartphone Hülle ist mittelmäßig, nichts Besonderes.",3,1
84,Smartphone Hülle,Leider ist das Smartphone Hülle schlecht. Bin enttäuscht.,1,17
85,Kaffeemaschine,Ich finde das Kaffeemaschine fantastisch. Würde ich wieder kaufen.,4,20
86,Bluetooth-Kopfhörer,"Das Bluetooth-Kopfhörer ist akzeptabel, nichts Besonderes.",3,1
87,Smartphone Hülle,Ich finde das Smartphone Hülle super. Würde ich wieder kaufen.,5,20
88,Bluetooth-Kopfhörer,Leider ist das Bluetooth-Kopfhörer mangelhaft. Bin enttäuscht.,2,2
89,Laptop Stand,Ich finde das Laptop Stand perfekt. Würde ich wieder kaufen.,5,10
90,Kaffeemaschine,Ich finde das Kaffeemaschine super. Würde ich wieder kaufen.,5,15
91,Kaffeemaschine,Ich finde das Kaffeemaschine exzellent. Würde ich wieder kaufen.,5,15
92,Smartphone Hülle,"Das Smartphone Hülle ist mittelmäßig, nichts Besonderes.",3,4
93,Staubsauger Roboter,Ich finde das Staubsauger Roboter super. Würde ich wieder kaufen.,4,16
94,Kaffeemaschine,Ich finde das Kaffeemaschine exzellent. Würde ich wieder kaufen.,4,17
95,Smartphone Hülle,Ich finde das Smartphone Hülle toll. Würde ich wieder kaufen.,5,4
96,Smartphone Hülle,Ich finde das Smartphone Hülle exzellent. Würde ich wieder kaufen.,5,8
97,Smartphone Hülle,Leider ist das Smartphone Hülle defekt. Bin enttäuscht.,1,14
98,Staubsauger Roboter,"Das Staubsauger Roboter ist solide, nichts Besonderes.",3,2
99,Laptop Stand,Leider ist das Laptop Stand defekt. Bin enttäuscht.,2,3
100,Staubsauger Roboter,Ich finde das Staubsauger Roboter fantastisch. Würde ich wieder kaufen.,5,5
